name,phone_number,address,zip_code,city,cuisine,is_fast_food,is_breakfast
COOK OUT,(336) 880-3233,2103 ALLENDOWN DRIVE,27713,DURHAM,American,true,false
TAQUERIA LA FIESTA,(321) 355-9888,1002 E GEER STREET,27704,DURHAM,Mexican,true,false
CHINA BUFFET,(919) 403-7878,3720 MAYFAIR ST,27707,DURHAM,Asian,false,false
CHINA KING,(919) 382-8000,1821 HILLANDALE RD,27705,DURHAM,Asian,true,false
CILANTRO MEDITERREAN GRILL & PIZZA,(919) 472-2424,5400 S MIAMI BLVD SUITE 102,27703,DURHAM,Itallian,true,false
WIMPY'S GRILL,,617 HICKS STREET,27705,DURHAM,American,true,false
KFC/TACO BELL,,1804 S MIAMI BLVD,27703,DURHAM,Mexican,true,false
AMANTE PIZZA,(919) 572-2345,3825 S ROXBORO ST,27713,DURHAM,Itallian,true,false
I LOVE NY PIZZA,(919) 401-4224,5428 NEW HOPE COMMONS,27707,DURHAM,Itallian,true,false
MT FUJI SUSHI AND BAR,(919) 680-4968,905 W MAIN ST SUITE 21B,27701,DURHAM,Asian,false,false
BLU SEAFOOD AND BAR,(919) 286-9777,2002 HILLSBOROUGH RD,27705,DURHAM,American,false,false
PAPA JOHN  PIZZA  1626,(919) 620-7575,3600 N DUKE STREET,27704,DURHAM,Itallian,true,false
WAFFLE HOUSE 844,(919) 484-7337,112 E HWY. 54,27713,DURHAM,Breakfast,true,true
MARDI GRAS SNACK BAR (THE),(919) 489-2669,6118 FARRINGTON RD,27517,CHAPEL HILL,American,true,false
BACKYARD BARBQUE PITT,(919) 544-9911,5122 NC HWY 55,27713,DURHAM,American,false,false
TAQUERIA EVA Y GABY,(919) 680-4282,401 E LAKEWOOD AVE,27707,DURHAM,Mexican,false,false
SALSABANERO FRESH MEXICAN GRILL,(919) 744-0826,821 N MIAMI BLVD,27703,DURHAM,Mexican,true,false
COOK OUT MIAMI BLVD  21,(866) 547-0011,1540 S MIAMI BLVD,27703,DURHAM,American,true,false
GUGLHUPF CAFE,(919) 401-2600,2706 CHAPEL HILL BLVD,27707,DURHAM,Coffee,false,true
ITALIAN PIZZERIA,(919) 220-1386,3500 N ROXBORO ROAD,27704,DURHAM,Itallian,false,false
TOMO JAPAN,(336) 260-0197,1058 W CLUB BLVE SPACE 560,27701,DURHAM,Asian,true,false
SUBWAY  39636,(919) 991-1800,5400 S MIAMI BLVD,27703,DURHAM,American,true,false
SUBWAY,(919) 220-5171,2120 AVONDALE DRIVE,27704,DURHAM,American,true,false
SUBWAY 36194,(919) 680-0238,1525 GLENN SCHOOL ROAD,27704,DURHAM,American,true,false
CHELSEA CAFE,(919) 474-8647,1007 SLATER ROAD,27703,DURHAM,Coffee,true,true
"SYMPATHY FOR THE DELI DC #84",(919) 360-6369,1101 W CHAPEL HILL ST,27701,DURHAM,American,true,false
TACO BELL,(919) 237-3298,6910 FAYETTEVILLE ROAD STE2310,27713,DURHAM,Mexican,true,false
LINA'S CAFE,(919) 419-1896,"5400 S. MIAMI BLVD. #136",27703,DURHAM,Coffee,true,true
TACO BELL,(919) 544-7954,2101 E HWY 54,27713,DURHAM,Mexican,true,false
PIZZA HUT,(919) 598-0300,2105 SHERRON RD,27703,DURHAM,Itallian,true,false
"BARNES AND NOBLE   #2631",(919) 489-3012,5400 NEW HOPE COMMONS DRIVE,27707,DURHAM,American,true,false
"TACOS CALY MFU #2",(919) 697-0904,CHINO LATINO 2900 HOLLOWAY ST.,27703,DURHAM,Mexican,true,false
OVAL PARK GRILLE,(919) 608-9577,1116 BROAD ST SUITE 100,27705,DURHAM,American,false,false
TOBACCO ROAD SPORTS CAFE,(919) 937-9909,280 S MANGUM ST SUITE 100,27701,DURHAM,Coffee,false,true
NEW CHINA,(919) 403-1889,6118 FARRINGTON RD,27514,CHAPEL HILL,Asian,true,false
INDIA GATE,(919) 248-9333,2223 E NC 54 SUITE Q,27713,DURHAM,Indian,false,false
ROY'S KOUNTRY KITCHEN,(919) 682-0939,2514 FAYETTEVILLE STREET,27707,DURHAM,American,false,false
SALT BOX,(919) 908-8970,608 N MANGUM ST,27701,DURHAM,American,true,false
NOSH @ JO RAE CAFE,(919) 613-1750,8 SEARLE CENTER DR,27710,DURHAM,Coffee,false,true
SMASHBURGER,(919) 237-1070,2608 ERWIN ROAD SUITE 116,27701,DURHAM,American,true,false
PUPUSERIA TAQUERIA AMIGOS,(919) 723-0242,2104 ANGIER AVE JOE’S COMMISSARY,27703,DURHAM,Mexican,true,false
BAR VIRGILE,(919) 973-3000,105 S MANGUM STRRET SUITE 100,27701,DURHAM,American,false,false
THE DOG HOUSE,(919) 314-7661,3521 HILLSBOROUGH RD,27705,DURHAM,American,true,false
SALADELIA,(919) 489-5776,4201 UNIVERSITY DRIVE,27707,DURHAM,American,false,false
TACO EXPRESS,(917) 676-5774,315 FOUSHEE ST,27704,DURHAM,Mexican,true,false
JOHN WAYNE'S CATERING,(919) 346-7010,1101 W CHAPEL HILL ST,27701,DURHAM,American,true,false
BOTTLE 501,(919) 402-1501,3219 WATKINS ROAD,27707,DURHAM,American,true,false
STARBUCKS COFFEE CO,(919) 886-0837,4010 CHAPEL HILL BLVD SUITE 100,27707,DURHAM,Coffee,true,true
JERSEY MIKE'S SUBS,(919) 908-7641,6118 FARRINGTON ROAD SUITE C,27517,CHAPEL HILL,American,true,false
GUASACA AREPA AND SALSA GRILL,(919) 294-8939,2200 WEST MAIN STREET SUITE A100,27705,DURHAM,American,true,false
STARBUCKS COFFEE 9361,(919) 544-4132,6813 FAYETTEVILLE RD,27713,DURHAM,Coffee,true,true
RED ROBIN GOURMET BURGERS,(919) 419-4980,5313 NEW HOPE COMMONS DR.,27707,DURHAM,American,false,false
P F CHANG S CHINA BISTRO,(919) 294-3131,6801 FAYETTEVILLE ROAD,27713,DURHAM,Asian,false,false
SUBWAY,(919) 682-5232,401 H LAKEWOOD AVE,27707,DURHAM,American,true,false
JIMMY JOHN'S 991,,5410 PAGE ROAD SUITE 5,27703,DURHAM,American,true,false
IHOP,(919) 477-8830,1821 NORTH POINTE DR,27705,DURHAM,Breakfast,false,true
SUBWAY,(919) 544-6808,4830 HWY 55,27713,DURHAM,American,true,false
DAME'S CHICKEN & WAFFLES,(919) 682-9235,317 W. MAIN,27701,DURHAM,Breakfast,false,true
SALADELIA AT ATC,(919) 687-4600,406 BLACKWELL STREET,27701,DURHAM,American,true,false
NEO JAPAN,(919) 682-4197,4104 SURLES COURT SUITE 4,27703,DURHAM,Asian,true,false
CHINA WOK,(919) 544-0003,3825 S ROXBORO ST,27713,DURHAM,Asian,true,false
DUNKIN DONUTS BASKIN ROBBINS,(919) 309-0000,2608 ERWIN RD,27705,DURHAM,Breakfast,true,true
"TAQUERIA LA ESPERANZA DC #2",(919) 949-0920,1028 HOLLOWAY ST.,27701,DURHAM,Mexican,true,false
DULCE CAFE & ICE CREAM,(919) 484-7337,"5826 FAYETTEVILLE RD. #106",27713,DURHAM,Coffee,true,true
NEO JAPAN,(919) 490-0120,1125 WEST HWY. 54 SUITE 401,27707,DURHAM,Asian,true,false
TAQUERIA DON FILY TRUCK,(919) 491-2732,2003 HOLLOWAY ST RESTAURANTE (DON FILY),27703,DURHAM,Mexican,true,false
RICKY'S NY PIZZA,(919) 477-2800,5279 N. ROXBORO ROAD,27704,DURHAM,Itallian,true,false
SAKE BOMB,(919) 401-4488,4215 UNIVERSITY DR,27707,DURHAM,American,false,false
TACOS CARRBORO,(919) 370-6159,"2721 GUESS RD #B  COSTA AZUL",27705,DURHAM,Mexican,true,false
"TACO'S MEXICAN JORGITO JR DC #98",(919) 358-8212,2100 ANGIER AVE JOE’S DINER,27703,DURHAM,Mexican,true,false
RANDY'S PIZZA EXPRESS,(919) 286-3397,1058 W CLUB BLVD,27701,DURHAM,Itallian,true,false
"BURGER KING #6882",(919) 471-5520,3414 N ROXBORO ST,27704,DURHAM,American,true,false
CHEERZ DELI,(650) 678-9249,2945 S MIAMI BLVD SUITE 106,27703,DURHAM,American,false,false
"BOJANGLES #9",(919) 489-5942,4150 GARRETT ROAD,27707,DURHAM,American,true,false
VILLAGE BOWL,(919) 682-9145,330 HARDEE STREET,27703,DURHAM,American,true,false
BLUE CORN CAFE,(919) 286-9600,716 B NINTH ST,27705,DURHAM,Coffee,false,true
SOUTH SIDE COFFEE SHOP,,DUKE SOUTH FOOD COURT,27710,DURHAM,Coffee,true,true
WAFFLE HOUSE,(919) 544-4204,4203 NC HWY 55,27713,DURHAM,Breakfast,true,true
TACOS DON FILY (TRAILER),(919) 491-2732,2003 HOLLOWAY ST RESTAURANTE (DON FILY),27703,DURHAM,Mexican,true,false
RESTAURANTE Y TAQUERIA DON FILY,(919) 408-6487,2003 HOLLOWAY ST,27701,DURHAM,Mexican,false,false
KFC TACO BELL,(919) 530-8119,1110 WEST HWY 54,27707,DURHAM,Mexican,true,false
"TACOS LAURITA DC #83",(919) 672-1599,2104 ANGIER AVE JOE’S COMMISSARY,27703,DURHAM,Mexican,true,false
"MCDONALDS #5625",,4717 NC HWY 55,27713,DURHAM,American,true,false
THE PATRON MEXICAN GRILL,(919) 937-9971,3438 HILLSBOROUGH ROAD,27705,DURHAM,Mexican,false,false
JUMBO CHINA,(919) 489-7474,1839 MARTIN LUTHER KING JR BLV,27707,DURHAM,Asian,true,false
BAGUETTABOUTIT FOOD TRUCK,(919) 521-2111,2945 122 S MIAMI BLVD,27707,DURHAM,American,true,false
GRIFOL'S CAFETERIA SODEXO,(919) 316-2412,79 TW ALEXANDER DRIVE BUILDING 4101,27709,DURHAM,Coffee,false,true
THE DOG HOUSE,(919) 286-9200,2009 GUESS RD,27704,DURHAM,American,true,false
CALIFORNIA PIZZA KITCHEN,(919) 361-4200,6910 FAYETTEVILLE ROAD,27713,DURHAM,Itallian,false,false
"BOJANGLES #32",(919) 941-5620,5425 S MIAMI BLVD,27703,DURHAM,American,true,false
LOCAL 22 KITCHEN AND BAR,(919) 286-9755,2200 W MAIN STREET SUITE B 130,27705,DURHAM,American,false,false
"FIREHOUSE SUBS # 325",(919) 479-9995,2608 ERWIN ROAD SUITE 128,27705,DURHAM,American,true,false
LAS DELICIAS II,(919) 324-4417,2104 ANGIER AVE JOE’S COMMISSARY,27703,DURHAM,American,true,false
"MCDONALDS # 32344",(919) 383-8828,3533 HILLSBOROUGH ROAD,27705,DURHAM,American,true,false
ONLY BURGER,(919) 237-2431,359 BLACKWELL STREET,27701,DURHAM,American,true,false
PIZZA HUT DELIVERY,(919) 490-9099,4201-103 UNIVERSITY DRIVE,27707,DURHAM,Itallian,true,false
DALE'S INDIAN CUISINE,(919) 286-1760,811 NINTH ST,27705,DURHAM,Indian,false,false
"KROGER #374 DELI",(919) 683-3022,3420 WATKINS ROAD,27707,DURHAM,American,true,false
JASON S DELI,(919) 474-9900,5408 NEW HOPE COMMONS DR,27707,DURHAM,American,false,false
VILLA PIZZA,(919) 361-0434,6910 FAYETTEVILLE ROAD,27713,DURHAM,Itallian,true,false
TATER BREAD CAFE,(919) 730-5048,1108 MORNING GLORY,27701,DURHAM,Coffee,true,true
THAI BOX ZING,(919) 909-4202,2104 ANGIER AVE JOE’S COMMISSARY,27703,DURHAM,American,true,false
J & J FISH & CHICKEN,(919) 598-6000,1403 S MIAMI BLVD,27703,DURHAM,American,false,false
TOOTIE'S GRILL AND CAFE,(919) 641-2177,2108 ANGIER AVE,27703,DURHAM,Coffee,true,true
"PANERA BREAD BAKERY CAFE #1749",(314) 984-2634,737 NINTH STREET SUITE 200,27705,DURHAM,Coffee,false,true
ENZO'S PIZZA COMPANY,(919) 309-8421,2608 ERWIN ROAD,27705,DURHAM,Itallian,true,false
"DUKE UNIVERSITY, WEST UNION AU BON PAIN",(919) 660-3900,406 CHAPEL DR,27708,DURHAM,American,false,false
COSTA AZUL RESTAURANT AND BAR,(919) 620-0971,3218 GUESS ROAD,27705,DURHAM,American,false,false
THE BAGEL BAR,(919) 294-6661,104 CITY HALL PLAZA SUITE 101,27701,DURHAM,American,false,false
CITY BARBEQUE,(919) 237-9509,208 W NC HWY 54,27713,DURHAM,American,false,false
DUKE WEST UNION CAFE SALADELIA,(919) 660-3900,406 CHAPEL DR,27708,DURHAM,Coffee,false,true
DOMINOS PIZZA  512,(919) 477-1966,4502 N. ROXBORO ROAD,27704,DURHAM,Itallian,true,false
ROLLINGVIEW MARINA SNACK BAR,(919) 489-2481,3940 FALLS LAKE ROAD,27703,DURHAM,American,true,false
TACO BELL,(919) 471-2911,3821 N DUKE ST,27704,DURHAM,Mexican,true,false
PEONY ASIAN BISTRO,(919) 419-8800,3515 WITHERSPOON BLVD. SUITE 108,27707,DURHAM,Asian,false,false
AZTECA GRILL,(919) 403-2527,1929 CHAPEL HILL RD,27707,DURHAM,American,false,false
CINCO DE MAYO MEXICAN RESTAURANT,,4818 NC HWY 55,27713,DURHAM,Mexican,false,false
COOK OUT,(919) 864-8634,3119 SHANNON ROAD,27707,DURHAM,American,true,false
STARBUCKS COFFEE 23693,(919) 451-7305,4201 N ROXBORO ST,27704,DURHAM,Coffee,true,true
SUBWAY,(919) 286-8336,2301 ERWIN ROAD,27710,DURHAM,American,false,false
C AND H CAFETERIA,(919) 286-7303,1720 GUESS RD,27701,DURHAM,Coffee,false,true
SALT BOX SEAFOOD JOINT,(919) 908-8970,608 N MANGUM ST,27701,DURHAM,American,true,false
DOMINO'S,(919) 383-8399,1201 COLE MILL RD.,27705,DURHAM,Itallian,true,false
